"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","de"
"116801","FOSB","CHM13_G0029005","CHM13_T0114618","transcript","116801",0.396592339293582,0.0473325108127097,0.738366125102804,-1.33427128461737
"117115","DACT3","CHM13_G0029075","CHM13_T0114933","transcript","117115",0.495132631780673,0.0346736804281368,0.694876725283834,-1.01411306144916
"117145","STRN4","CHM13_G0029080","CHM13_T0114963","transcript","117145",0.407370687468083,0.037172953757338,0.694876725283834,-1.29558592058714
"117159","STRN4","CHM13_G0029080","CHM13_T0114977","transcript","117159",0.250262925398876,0.00315100591188155,0.39117866601622,-1.99848351263006
"117520","EMP3","CHM13_G0029147","CHM13_T0115338","transcript","117520",0.37515953232604,0.0139249370808916,0.622846258087233,-1.41442387913755
"117788","SNRNP70","CHM13_G0029213","CHM13_T0115606","transcript","117788",0.461788962642966,0.0308223375723486,0.694876725283834,-1.1146944036518
"117960","RPL13A","CHM13_G0029238","CHM13_T0115778","transcript","117960",4.911830413522,0.0306133088606987,0.694876725283834,2.29626075089653
"118215","PNKP","CHM13_G0029277","CHM13_T0116033","transcript","118215",2.55176705023157,0.00168407690024464,0.300924361201234,1.35149663207484
"118283","ATF5","CHM13_G0029284","CHM13_T0116101","transcript","118283",2.70786317498854,0.0276775672616671,0.694876725283834,1.43715484314019
"118368","NAPSA","CHM13_G0029304","CHM13_T0116186","transcript","118368",0.0479323959377477,6.69472971754903e-05,0.131410084561256,-4.38285513379208
"118374","NAPSA","CHM13_G0029304","CHM13_T0116192","transcript","118374",0.388471117051357,0.000670373881173969,0.19101542501202,-1.36412075709298
"118385","NR1H2","CHM13_G0029302","CHM13_T0116203","transcript","118385",0.43666022645959,0.00869862450041448,0.531730004526183,-1.19541696679811
"118640","SIGLEC9","CHM13_G0029360","CHM13_T0116458","transcript","118640",3.6551331994833,0.00963253581621726,0.544308918457285,1.86992398148073
"118814","ZNF577","CHM13_G0029424","CHM13_T0116632","transcript","118814",0.35700319932129,0.0208782313144589,0.690797022290208,-1.48599109171344
